t1,t2,t3,ds1,ds2,ds3,df1,df2,df3,PhaseNoise,QuantEff,Bandwidth,MaxCurrent,DecayTime
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
200,966,2000,8.00E+18,2.14E+15,1.00E+17,4.54E+17,3.3E+14,1.41E+17,-171.0787206,0.59609234,21.79758809,0.000430841,32.19044747
500,1082,1000,1.83E+18,1.88E+15,2.23E+17,1.96E+18,1.11E+15,2.04E+18,-170.9081765,0.499235601,20.8104188,0.000476937,34.66559006
200,953,1943,6.14E+18,1.12E+15,1.00E+17,3.96E+17,1.1E+14,3.00E+17,-171.1074569,0.589034941,21.83918763,0.000427246,32.19044747
200,971,1989,5.90E+18,1.00E+15,1.00E+17,5.67E+17,1.29E+14,3.00E+17,-171.1247038,0.594694663,21.82649154,0.000431008,32.19044747
200,971,1971,6.05E+18,1.03E+15,1.00E+17,5.86E+17,1.35E+14,3.00E+17,-171.1246256,0.593750591,21.82634088,0.000431026,32.19044747
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.67E+18,-170.9415291,0.48955252,21.21925115,0.000463112,34.66559006
200,952,1968,5.93E+18,1.09E+15,1.00E+17,4.96E+17,1.35E+14,3.00E+17,-171.1035916,0.589572989,21.84025871,0.000426676,32.19044747
200,994,2000,8.00E+18,1.26E+15,1.00E+17,4.21E+17,2.22E+14,1.90E+17,-171.1308811,0.602395329,21.77757385,0.000437464,32.19044747
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.07E+15,1.66E+18,-170.941371,0.489552293,21.21896129,0.000463111,34.66559006
225,900,443,1.28E+18,1.88E+15,2.34E+17,1.28E+18,1.88E+15,1.28E+18,-170.7157222,0.396935422,21.82690118,0.000406209,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
150,925,1483,2.82E+18,2.27E+15,4.81E+17,5.43E+17,4.36E+14,2.41E+17,-170.4547692,0.542435397,21.41750112,0.00040874,34.66559006
501,977,1000,1.57E+18,1.53E+15,2.48E+17,1.80E+18,1.05E+15,1.67E+18,-170.8859339,0.483183055,21.32099067,0.000454624,34.66559006
500,919,1000,1.69E+18,2.19E+15,2.64E+17,1.99E+18,1.32E+15,1.56E+18,-170.7101837,0.473569675,21.33571965,0.000441461,34.66559006
194,955,1483,3.00E+18,2.38E+15,5.12E+17,3.07E+17,3.19E+14,1.84E+17,-170.8290642,0.556108771,21.6596918,0.000425309,34.66559006
200,998,2000,6.81E+18,2.50E+15,1.00E+17,4.01E+17,2.32E+14,1.74E+17,-171.0859223,0.602615313,21.72648482,0.000438059,32.19044747
502,977,1000,1.57E+18,1.53E+15,2.48E+17,1.80E+18,1.03E+15,1.67E+18,-170.8846759,0.483126817,21.31791337,0.000454721,34.66559006
136,900,2000,6.52E+18,3.00E+15,1.00E+17,3.54E+17,5.63E+14,2.31E+17,-170.8464765,0.573063436,21.84798122,0.000403747,32.19044747
198,961,1989,6.15E+18,1.04E+15,1.00E+17,5.70E+17,1.23E+14,3.00E+17,-171.1126759,0.592511672,21.83514644,0.000428452,32.19044747
198,953,1985,6.11E+18,1.04E+15,1.13E+17,5.62E+17,1.2E+14,3.00E+17,-171.075948,0.590503005,21.83144182,0.000426571,32.19044747
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9415569,0.489552561,21.21929939,0.000463112,34.66559006
198,970,2000,6.01E+18,1.00E+15,1.00E+17,5.58E+17,1.28E+14,3.00E+17,-171.121662,0.595079142,21.82751468,0.000430555,32.19044747
198,970,2000,6.01E+18,1.00E+15,1.00E+17,5.58E+17,1.28E+14,3.00E+17,-171.121662,0.595079142,21.82751468,0.000430555,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
178,973,1975,5.84E+18,2.59E+15,1.04E+17,4.03E+17,4.58E+14,1.86E+17,-171.0239763,0.593118508,21.7757413,0.000428339,32.19044747
200,993,2000,8.00E+18,1.26E+15,1.00E+17,4.21E+17,2.22E+14,1.90E+17,-171.130556,0.602179327,21.77956134,0.000437233,32.19044747
128,923,1794,2.48E+18,2.90E+15,3.40E+17,7.68E+17,2.07E+14,2.53E+17,-170.6480655,0.560736705,21.72594655,0.000405028,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
1000,1000,525,3.16E+18,1.00E+15,1.00E+18,3.16E+18,1.00E+15,1.00E+18,-168.6942344,0.368066207,17.59111,0.000495151,52.43811714
200,964,2000,6.07E+18,1.00E+15,1.00E+17,5.76E+17,1.24E+14,2.99E+17,-171.1188959,0.59383264,21.83286654,0.000429414,32.19044747
198,971,1998,5.98E+18,1.00E+15,1.00E+17,5.60E+17,1.29E+14,3.00E+17,-171.1223438,0.595159651,21.82654571,0.000430771,32.19044747
152,968,1934,6.58E+18,1.02E+15,7.77E+17,3.42E+17,1.7E+14,1.89E+17,-170.8029193,0.588715333,21.6432454,0.000423639,34.66559006
